#solver it r/r0
           7         1.3109318401E-05    1.8902360762E-15
           8         4.2578647151E-05    6.1394263574E-15
           9         3.1567919512E-05    4.5517866364E-15
          10         1.6209387725E-06    2.3372358893E-16
          11         7.5979573983E-09    1.0955514803E-18
          12         2.5659708791E-08    3.6998801751E-18
          13         7.2335043569E-08    1.0430009001E-17
          14         1.2288047509E-08    1.7718168097E-18
          15         4.7337114539E-19    6.8255510244E-29
step       73 0.730000E+05
nlit      1
           1         4.0810581561E+07    5.0379362350E-03
           2         3.9392916048E+07    4.8629299455E-03
           3         1.1921809012E-03    1.4717093291E-13
           4         3.3321579007E-04    4.1134427364E-14
           5         7.0673615945E-05    8.7244326597E-15
           6         9.4497952549E-05    1.1665471088E-14
           7         3.2376967304E-05    3.9968334320E-15
           8         9.7672048061E-06    1.2057303064E-15
           9         2.6259798332E-05    3.2416884172E-15
          10         4.0001614144E-06    4.9380717855E-16
          11         2.0145560364E-08    2.4869052254E-18
          12         1.7700310221E-08    2.1850468880E-18
          13         1.4959722348E-07    1.8467300490E-17
          14         2.0341260288E-08    2.5110637573E-18
          15         1.8308173473E-16    2.2600856692E-26
step       74 0.740000E+05
nlit      1
           1         4.4106318593E+07    4.6614887431E-03
           2         4.2574166775E+07    4.4995593715E-03
           3         9.9632460623E-04    1.0529910645E-13
           4         1.1411695961E-03    1.2060741852E-13
           5         7.0496169610E-05    7.4505674369E-15
           6         4.9963773056E-05    5.2805487535E-15
           7         2.1899298177E-05    2.3144831668E-15
           8         4.9219454898E-06    5.2018835911E-16
           9         8.2768378599E-06    8.7475871357E-16
          10         4.1786413963E-06    4.4163037070E-16
          11         1.6022765903E-08    1.6934068694E-18
          12         8.8342721909E-09    9.3367258219E-19
          13         6.4171611009E-09    6.7821403348E-19
          14         2.8629451041E-09    3.0257765328E-19
          15         9.9284606506E-18    1.0493146795E-27
step       75 0.750000E+05
nlit      1
           1         4.7668209208E+07    4.3131703713E-03
           2         4.6012325522E+07    4.1633407768E-03
           3         4.9119336525E-04    4.4444729617E-14
           4         6.3036838502E-04    5.7037725696E-14
           5         1.2905703186E-04    1.1677488525E-14
           6         1.0151885061E-04    9.1857467657E-15
           7         7.0612283622E-04    6.3892228096E-14
           8         3.6975451697E-06    3.3456558442E-16
           9         2.0964565463E-05    1.8969402061E-15
          10         2.4251375798E-06    2.1943412034E-16
          11         6.6494225738E-08    6.0166079044E-18
          12         9.7777300761E-09    8.8471994990E-19
          13         1.5628409305E-07    1.4141079156E-17
          14         2.3685895252E-08    2.1431747346E-18
          15         4.6079413214E-16    4.1694110834E-26
step       76 0.760000E+05
nlit      1
           1         5.1517747157E+07    3.9908792401E-03
           2         4.9728139399E+07    3.8522452966E-03
           3         6.5575478446E-04    5.0798769362E-14
           4         2.2230400328E-04    1.7221025387E-14
           5         3.3429219018E-04    2.5896314096E-14
           6         3.6335343315E-05    2.8147575413E-15
           7         1.1078718129E-05    8.5822514821E-16
           8         5.0988854313E-05    3.9499079712E-15
           9         1.0721528216E-05    8.3055503669E-16
          10         2.2290914507E-05    1.7267903365E-15
          11         6.8223407101E-09    5.2850016570E-19
          12         1.9236053880E-07    1.4901421807E-17
          13         1.8314578660E-08    1.4187590840E-18
          14         2.1315858958E-08    1.6512565804E-18
          15         7.4119338749E-18    5.7417365205E-28
step       77 0.770000E+05
nlit      1
           1         5.5678161946E+07    3.6926705271E-03
           2         5.3744030969E+07    3.5643956667E-03
           3         1.7575276313E-03    1.1656222580E-13
           4         7.0487842331E-04    4.6748737530E-14
           5         2.5565215062E-04    1.6955286037E-14
           6         4.8347318120E-05    3.2064764792E-15
           7         2.6648535867E-05    1.7673762845E-15
           8         8.6478613255E-05    5.7354089149E-15
           9         9.6537900451E-06    6.4025579740E-16
          10         1.4308805664E-05    9.4898436131E-16
          11         5.9923819022E-09    3.9742497353E-19
          12         9.4320546226E-08    6.2554992653E-18
          13         5.3047566484E-08    3.5182049558E-18
          14         2.9750990386E-08    1.9731363521E-18
          15         1.6776982309E-18    1.1126780400E-28
step       78 0.780000E+05
nlit      1
           1         6.0174559035E+07    3.4167447324E-03
           2         5.8084233589E+07    3.2980548979E-03
           3         8.3825920059E-04    4.7596820882E-14
           4         5.8861880089E-04    3.3422100961E-14
           5         1.4945323556E-04    8.4860373477E-15
           6         4.5983443482E-05    2.6109653451E-15
           7         1.3613974870E-04    7.7300902029E-15
           8         2.3172305793E-05    1.3157363349E-15
           9         2.7630185121E-05    1.5688571879E-15
          10         1.6046097018E-05    9.1110626054E-16
          11         1.6205654480E-08    9.2016602148E-19
          12         1.6112578413E-08    9.1488111089E-19
          13         1.0616961563E-07    6.0283694764E-18
          14         1.2214449222E-08    6.9354318016E-19
          15         3.7134668184E-18    2.1085269912E-28
step       79 0.790000E+05
nlit      1
           1         6.5034071324E+07    3.1614368196E-03
           2         6.2774937626E+07    3.0516157934E-03
           3         1.3487565318E-03    6.5565763815E-14
           4         2.5352411726E-03    1.2324316511E-13
           5         1.6289395078E-04    7.9186020992E-15
           6         5.7423859940E-05    2.7914891601E-15
           7         1.8184626993E-04    8.8399123962E-15
           8         8.0407719723E-05    3.9087807443E-15
           9         2.2490364284E-05    1.0933017769E-15
          10         8.5910944544E-06    4.1763035554E-16
          11         9.0367208357E-09    4.3929314892E-19
          12         7.1181658585E-08    3.4602833830E-18
          13         1.1350103205E-07    5.5175131200E-18
          14         4.2222810954E-08    2.0525356396E-18
          15         3.5624756413E-18    1.7317909570E-28
step       80 0.800000E+05
nlit      1
           1         7.0286022875E+07    2.9252061675E-03
           2         6.7844448487E+07    2.8235912494E-03
           3         6.8744609429E-04    2.8610546914E-14
           4         2.9056584648E-03    1.2092944962E-13
           5         1.2307154582E-04    5.1220659548E-15
           6         6.7388631831E-05    2.8046207964E-15
           7         1.2078652700E-04    5.0269666610E-15
           8         1.2405327511E-03    5.1629241579E-14
           9         3.3760905229E-05    1.4050817525E-15
          10         1.8155485764E-05    7.5560597625E-16
          11         3.6843148027E-08    1.5333603956E-18
          12         1.5584095995E-08    6.4858832317E-19
          13         5.3463376060E-09    2.2250710879E-19
          14         3.4563940189E-09    1.4385029467E-19
          15         3.4904088754E-16    1.4526594552E-26
step       81 0.810000E+05
nlit      1
           1         7.5962105882E+07    2.7066272746E-03
           2         7.3323357458E+07    2.6126052833E-03
           3         2.5340567623E-03    9.0291693056E-14
           4         3.4071442371E-04    1.2140091976E-14
           5         1.8664306052E-04    6.6503316667E-15
           6         9.2992245138E-05    3.3134329821E-15
           7         5.7036911274E-04    2.0322983140E-14
           8         4.2524011791E-04    1.5151850887E-14
           9         4.8753081507E-05    1.7371348332E-15
          10         2.2316240111E-05    7.9515626181E-16
          11         8.9397562413E-08    3.1853498254E-18
          12         4.9344226604E-08    1.7581980913E-18
          13         5.9581450282E-08    2.1229635029E-18
          14         4.4855236094E-08    1.5982496011E-18
          15         3.0433416740E-17    1.0843816776E-27
step       82 0.820000E+05
nlit      1
           1         8.2096571892E+07    2.5043811561E-03
           2         7.9244726265E+07    2.4173847287E-03
           3         1.5951803575E-03    4.8661467049E-14
           4         1.1466024441E-03    3.4977459940E-14
           5         1.5882004601E-04    4.8448543131E-15
           6         5.8202197267E-05    1.7754759147E-15
           7         2.9633288816E-05    9.0397258245E-16
           8         8.2718094602E-05    2.5233408973E-15
           9         3.9657106637E-05    1.2097522257E-15
          10         1.6207945157E-05    4.9442834816E-16
          11         2.9893371914E-09    9.1190649728E-20
          12         1.1579958654E-07    3.5325019758E-18
          13         6.8301102499E-08    2.0835461225E-18
          14         2.9715910823E-08    9.0649299215E-19
          15         1.1984423821E-16    3.6558853180E-27
step       83 0.830000E+05
nlit      1
           1         8.8726438505E+07    2.3172473851E-03
           2         8.5644286596E+07    2.2367515536E-03
           3         4.4258251355E-03    1.1558822709E-13
           4         1.1952006012E-03    3.1214771093E-14
           5         3.2297370196E-04    8.4350276981E-15
           6         1.5530402698E-03    4.0560384985E-14
           7         1.4396602086E-03    3.7599264776E-14
           8         9.6936213813E-06    2.5316601429E-16
           9         1.3641870064E-05    3.5628149024E-16
          10         1.1552149027E-05    3.0170474074E-16
          11         1.8621192003E-07    4.8632526228E-18
          12         2.1587538477E-08    5.6379663074E-19
          13         1.5425358074E-07    4.0286042429E-18
          14         7.9474045337E-08    2.0756048236E-18
          15         1.8419721935E-15    4.8106351622E-26
step       84 0.840000E+05
nlit      1
           1         9.5891712750E+07    2.1440967286E-03
           2         9.2560655730E+07    2.0696157515E-03
           3         2.5918380885E-03    5.7952365300E-14
           4         1.7351556110E-02    3.8797320044E-13
           5         3.8634137580E-04    8.6384240746E-15
           6         3.0021696843E-04    6.7127200195E-15
           7         1.4999630002E-04    3.3538516202E-15
           8         3.2930085554E-05    7.3630230062E-16
           9         1.7477777899E-05    3.9079546440E-16
          10         1.1359948647E-05    2.5400347990E-16
          11         1.8901977354E-07    4.2263994089E-18
          12         1.0382970793E-08    2.3215868265E-19
          13         1.0462426441E-08    2.3393527618E-19
          14         8.9257407112E-09    1.9957565581E-19
          15         8.7020420503E-16    1.9457385166E-26
step       85 0.850000E+05
nlit      1
           1         1.0363563251E+08    1.9838843325E-03
           2         1.0003556957E+08    1.9149687647E-03
           3         3.6142811073E-03    6.9187744490E-14
           4         1.1915257798E-03    2.2809233361E-14
           5         5.0942557175E-04    9.7518718794E-15
           6         2.4248080242E-04    4.6417805652E-15
           7         1.3941196943E-04    2.6687464073E-15
           8         1.4833144468E-02    2.8394908392E-13
           9         8.8974678420E-05    1.7032314681E-15
          10         7.7127860392E-04    1.4764492687E-14
          11         2.0499660260E-07    3.9242250785E-18
          12         2.0479747092E-08    3.9204131250E-19
          13         6.3699266372E-08    1.2193873235E-18
          14         1.0979702220E-07    2.1018310674E-18
          15         2.6060414727E-14    4.9887135557E-25
step       86 0.860000E+05
nlit      1
           1         1.1200492740E+08    1.8356434167E-03
           2         1.0811413446E+08    1.7718773966E-03
           3         6.3966385860E-03    1.0483420490E-13
           4         9.3025406988E-04    1.5245889612E-14
           5         3.8826615569E-04    6.3632755196E-15
           6         1.7688934692E-04    2.8990310756E-15
           7         1.2696518329E-04    2.0808263374E-15
           8         7.2609987280E-05    1.1900016207E-15
           9         4.8128091438E-05    7.8876899663E-16
          10         5.3639520274E-05    8.7909554113E-16
          11         4.3871298037E-08    7.1900461247E-19
          12         3.0612296181E-07    5.0170346302E-18
          13         2.2244154911E-07    3.6455839461E-18
          14         1.3344264594E-07    2.1869851640E-18
          15         5.3634493208E-17    8.7901315279E-28
step       87 0.870000E+05
nlit      1
           1         1.2105010080E+08    1.6984794415E-03
           2         1.1684509939E+08    1.6394781816E-03
           3         1.8643289384E-03    2.6158791716E-14
           4         2.4762596337E-03    3.4744920093E-14
           5         7.6724183886E-04    1.0765331721E-14
           6         3.5069915821E-04    4.9207336996E-15
           7         1.7679144172E-04    2.4805979276E-15
           8         6.7853185529E-04    9.5206232706E-15
           9         7.7628970393E-05    1.0892284220E-15
          10         1.2938622834E-04    1.8154454014E-15
          11         2.4754145355E-07    3.4733062342E-18
          12         2.4538764671E-08    3.4430857172E-19
          13         5.0504093143E-08    7.0863356037E-19
          14         5.6317688356E-08    7.9020533837E-19
          15         1.7875015883E-17    2.5080810997E-28
step       88 0.880000E+05
nlit      1
           1         1.3082573459E+08    1.5715647098E-03
           2         1.2628115020E+08    1.5169721751E-03
           3         2.9523232436E-03    3.5465247231E-14
           4         8.9667281052E-04    1.0771423143E-14
           5         6.5910101207E-04    7.9175545543E-15
           6         3.7167369829E-04    4.4647887482E-15
           7         5.6700439966E-04    6.8112295150E-15
           8         1.6871879588E-04    2.0267610673E-15
           9         6.9505132231E-05    8.3494133094E-16
          10         3.7151952973E-05    4.4629367741E-16
          11         1.2004222900E-07    1.4420261531E-18
          12         1.0559246604E-07    1.2684461033E-18
          13         7.7558483267E-07    9.3168347669E-18
          14         1.5438013096E-07    1.8545156002E-18
          15         2.7115262125E-17    3.2572635028E-28
step       89 0.890000E+05
nlit      1
           1         1.4139081850E+08    1.4541333717E-03
           2         1.3647922745E+08    1.4036201309E-03
           3         1.4240404588E-02    1.4645539051E-13
           4         4.4139903165E-03    4.5395667765E-14
           5         2.5073484464E-03    2.5786816210E-14
           6         5.4901918712E-04    5.6463858840E-15
           7         3.8522010165E-04    3.9617947700E-15
           8         8.3840533906E-04    8.6225767379E-15
           9         6.1635049706E-05    6.3388545024E-16
          10         6.7295523459E-05    6.9210057249E-16
          11         5.9819887653E-07    6.1521742254E-18
          12         1.2085271546E-08    1.2429093238E-19
          13         1.9978811853E-07    2.0547201969E-18
          14         4.8335872140E-08    4.9711010570E-19
          15         2.6503739357E-16    2.7257761348E-27
step       90 0.900000E+05
nlit      1
           1         1.5280910607E+08    1.3454768037E-03
           2         1.4750087003E+08    1.2987380416E-03
           3         3.6334548053E-03    3.1992394194E-14
           4         1.4880624643E-03    1.3102318178E-14
           5         8.1361712730E-02    7.1638595371E-13
           6         1.9591832493E-03    1.7250513951E-14
           7         4.5032085251E-04    3.9650533719E-15
           8         6.8210596252E-05    6.0059100786E-16
           9         1.0924805575E-04    9.6192385805E-16
          10         6.9086884818E-05    6.0830668639E-16
          11         2.8251906620E-07    2.4875667423E-18
          12         3.4715031007E-08    3.0566417252E-19
          13         2.4161165246E-07    2.1273789386E-18
          14         2.3784012852E-07    2.0941708524E-18
          15         5.0490408941E-14    4.4456561384E-25
step       91 0.910000E+05
nlit      1
           1         1.6514949943E+08    1.2449393327E-03
           2         1.5941258658E+08    1.2016930105E-03
           3         6.6274737155E-03    4.9959598626E-14
           4         2.3242722639E-03    1.7520961136E-14
           5         1.1232334022E-03    8.4672218022E-15
           6         2.4393921148E-03    1.8388764132E-14
           7         2.1774125113E-04    1.6413894612E-15
           8         1.2382758850E-04    9.3344415776E-16
           9         1.9580195598E-04    1.4760054209E-15
          10         8.0744160372E-05    6.0867021383E-16
          11         2.9846597981E-07    2.2499131939E-18
          12         1.7411527985E-08    1.3125256877E-19
          13         1.4584645568E-07    1.0994280324E-18
          14         5.5380564734E-08    4.1747291722E-19
          15         1.6617833049E-15    1.2526949254E-26
step       92 0.920000E+05
nlit      1
           1         1.7848646500E+08    1.1519142789E-03
           2         1.7228625672E+08    1.1118994326E-03
           3         6.3307877379E-03    4.0857578706E-14
           4         5.1005590963E-03    3.2917940602E-14
           5         1.7981441616E-03    1.1604845977E-14
           6         4.4861440178E-04    2.8952634314E-15
           7         2.0158913761E-04    1.3010140914E-15
           8         4.1574471750E-04    2.6831293704E-15
           9         3.0203062715E-04    1.9492424374E-15
          10         3.7764816627E-04    2.4372622042E-15
          11         4.5961728823E-07    2.9662737571E-18
          12         6.4526226977E-08    4.1643876031E-19
          13         2.7078765604E-07    1.7476068425E-18
          14         2.6385129911E-07    1.7028410470E-18
          15         4.5999207067E-17    2.9686925245E-28
step       93 0.930000E+05
nlit      1
           1         1.9290048289E+08    1.0658402952E-03
           2         1.8619956487E+08    1.0288154608E-03
           3         1.1473861480E-02    6.3396958493E-14
           4         3.5884006386E-03    1.9827125048E-14
           5         1.2265128728E-03    6.7768977189E-15
           6         3.9052551075E-04    2.1577852965E-15
           7         2.2595789797E-04    1.2484936745E-15
           8         2.9695297357E-04    1.6407654366E-15
           9         5.3265267877E-04    2.9430858850E-15
          10         9.7186865405E-04    5.3699024370E-15
          11         2.1109439849E-07    1.1663678216E-18
          12         3.5351941249E-08    1.9533141096E-19
          13         1.4924568288E-07    8.2463278641E-19
          14         1.4712626856E-07    8.1292230671E-19
          15         3.4607632984E-17    1.9121885650E-28
step       94 0.940000E+05
nlit      1
           1         2.0847853250E+08    9.8619797989E-04
           2         2.0123646894E+08    9.5193973579E-04
           3         1.6778372065E-02    7.9369306937E-14
           4         1.5489677861E-02    7.3273199077E-14
           5         2.9322341071E-03    1.3870796759E-14
           6         9.2846851771E-04    4.3920770430E-15
           7         6.6172172258E-04    3.1302437628E-15
           8         4.2273061825E-03    1.9997074842E-14
           9         4.5473725221E-04    2.1511133742E-15
          10         3.3125996034E-04    1.5670098009E-15
          11         4.0375773121E-07    1.9099571265E-18
          12         3.8268268159E-08    1.8102625867E-19
          13         3.0232444295E-07    1.4301316847E-18
          14         1.0721958078E-07    5.0719722888E-19
          15         1.0557764295E-16    4.9943011852E-28
step       95 0.950000E+05
nlit      1
           1         2.2531461750E+08    9.1250674228E-04
           2         2.1748770714E+08    8.8080836182E-04
           3         2.9327259906E-02    1.1877313018E-13
           4         1.0086722916E-02    4.0850446235E-14
           5         2.5917588380E-03    1.0496422470E-14
           6         4.5524016752E-03    1.8436874040E-14
           7         6.1998298225E-03    2.5108830385E-14
           8         2.6660625291E-04    1.0797346662E-15
           9         1.0621872527E-04    4.3017760695E-16
          10         1.3360025719E-04    5.4107068956E-16
          11         2.3515248339E-07    9.5234933685E-19
          12         3.2193629396E-08    1.3038170452E-19
          13         8.6555752534E-08    3.5054409096E-19
          14         3.2758389454E-07    1.3266893899E-18
          15         7.8202006530E-16    3.1671206693E-27
step       96 0.960000E+05
nlit      1
           1         2.4351033295E+08    8.4432190267E-04
           2         2.3505134543E+08    8.1499210646E-04
           3         1.3771764103E-02    4.7750754268E-14
           4         9.8347434870E-03    3.4099946530E-14
           5         1.2821201009E-03    4.4454872610E-15
           6         9.4385761324E-04    3.2726317861E-15
           7         5.4200521512E-04    1.8792913998E-15
           8         3.2587673874E-04    1.1299104426E-15
           9         2.3312390413E-04    8.0830910091E-16
          10         3.6559154682E-04    1.2676133562E-15
          11         5.5759587262E-07    1.9333487921E-18
          12         7.6993676667E-08    2.6695970881E-19
          13         1.8936804689E-07    6.5659468211E-19
          14         3.3069545718E-07    1.1466183559E-18
          15         1.7622361728E-16    6.1101908092E-28
step       97 0.970000E+05
nlit      1
           1         2.6317547838E+08    7.8123200869E-04
           2         2.5403336902E+08    7.5409380987E-04
           3         1.9322180654E-02    5.7357570308E-14
           4         5.7815679797E-03    1.7162487911E-14
           5         2.0350129875E-03    6.0409020388E-15
           6         1.4271120248E-03    4.2363581920E-15
           7         4.8343103376E-04    1.4350569434E-15
           8         4.3176165940E-04    1.2816772692E-15
           9         5.2369521827E-03    1.5545805021E-14
          10         2.1054775786E-04    6.2500749999E-16
          11         1.0630902316E-06    3.1557655835E-18
          12         8.4967575198E-09    2.5222482678E-20
          13         4.1357241656E-08    1.2276828059E-19
          14         1.5929509779E-08    4.7286483523E-20
          15         1.1582122856E-15    3.4381338106E-27
step       98 0.980000E+05
nlit      1
           1         2.8442872047E+08    7.2285635314E-04
           2         2.7454832249E+08    6.9774599002E-04
           3         1.5213835480E-02    3.8664933745E-14
           4         1.3129519637E-02    3.3367786022E-14
           5         4.3603306775E-03    1.1081485466E-14
           6         3.3098395429E-03    8.4117333070E-15
           7         1.6150586334E-03    4.1045622675E-15
           8         3.4127918811E-04    8.6733797105E-16
           9         1.3045041217E-03    3.3153089832E-15
          10         2.2509552069E-04    5.7206503945E-16
          11         1.8883730132E-06    4.7991722757E-18
          12         1.9618199539E-08    4.9858327072E-20
          13         2.6312211553E-06    6.6870705794E-18
          14         2.3229552608E-07    5.9036336609E-19
          15         3.2759730931E-16    8.3256640157E-28
step       99 0.990000E+05
nlit      1
           1         3.0739830904E+08    6.6884267604E-04
           2         2.9672000049E+08    6.4560862350E-04
           3         4.3356948171E-02    9.4336814443E-14
           4         1.4124327063E-02    3.0731960562E-14
           5         6.1455723387E-02    1.3371644957E-13
           6         2.1409271696E-03    4.6582671902E-15
           7         1.6526013379E-03    3.5957592113E-15
           8         2.7141646823E-03    5.9055275061E-15
           9         1.0341797605E-03    2.2501866087E-15
          10         6.3328941342E-04    1.3779223032E-15
          11         7.1150207386E-07    1.5480987927E-18
          12         2.8616478455E-08    6.2264239802E-20
          13         2.4268267221E-08    5.2803324917E-20
          14         2.4990686786E-08    5.4375178181E-20
          15         1.2902377944E-14    2.8073222063E-26
step      100 0.100000E+06
nlit      1
           1         3.3222285091E+08    6.1886503914E-04
           2         3.2068219504E+08    5.9736709454E-04
           3         5.6206757916E-02    1.0470200151E-13
           4         1.6266266625E-02    3.0300816768E-14
           5         8.2442182030E-03    1.5357337423E-14
           6         1.8977154498E-03    3.5350661248E-15
           7         1.8927314767E-03    3.5257819750E-15
           8         3.7070398451E-03    6.9054773100E-15
           9         1.8484304194E-04    3.4432579237E-16
          10         1.5991082664E-04    2.9788203826E-16
          11         2.2350480186E-06    4.1634495513E-18
          12         6.0572702999E-08    1.1283488812E-19
          13         9.6375383611E-07    1.7952815524E-18
          14         2.7514287742E-07    5.1253641083E-19
          15         6.6129043262E-16    1.2318524399E-27
