#solver it r/r0
           2         2.9447480092E+05    6.4777722768E-01
           3         1.1303198817E+04    2.4864452818E-02
           4         6.8466773508E+03    1.5061124616E-02
           5         4.2886187141E+04    9.4339805392E-02
           6         1.1381814225E+02    2.5037388739E-04
           7         1.9932468367E+02    4.3846872666E-04
           8         4.1941069676E+00    9.2260763080E-06
           9         6.5865578222E-09    1.4488921132E-14
          10         3.8503192169E-08    8.4698218667E-14
          11         5.7320977192E-11    1.2609304286E-16
          12         1.8990653026E-09    4.1775094272E-15
          13         1.0309216224E-09    2.2677918397E-15
          14         1.5469020482E-10    3.4028307928E-16
          15         1.0484316697E-11    2.3063099398E-17
          16         1.0845916861E-12    2.3858537077E-18
          17         2.3227062951E-12    5.1094227412E-18
          18         1.3259051438E-12    2.9166881360E-18
          19         7.0043780681E-13    1.5408030135E-18
          20         2.1163425468E-18    4.6554696819E-24
step       11 0.110000E+05
nlit      1
           1         3.3030101268E+05    6.2121450028E-01
           2         3.1877106213E+05    5.9952951540E-01
           3         6.1891433140E+03    1.1640247603E-02
           4         3.7459042720E+03    7.0451193338E-03
           5         2.3086888732E+04    4.3420726841E-02
           6         3.2661658361E+01    6.1428500059E-05
           7         6.5348579415E+01    1.2290451300E-04
           8         1.3766758415E+00    2.5891867179E-06
           9         2.1563317736E-09    4.0555266673E-15
          10         4.9637166694E-10    9.3355232105E-16
          11         4.3383824260E-11    8.1594241837E-17
          12         2.8669828436E-11    5.3920855405E-17
          13         2.9984607852E-11    5.6393630258E-17
          14         2.1900272745E-11    4.1188995696E-17
          15         1.5538208446E-11    2.9223526494E-17
          16         4.7279378026E-11    8.8920814852E-17
          17         5.8443566874E-12    1.0991789246E-17
          18         1.3087831628E-13    2.4614973834E-19
          19         1.5628822609E-14    2.9393949319E-20
step       12 0.120000E+05
nlit      1
           1         3.5727636418E+05    5.7490259955E-01
           2         3.4481844948E+05    5.5485624815E-01
           3         3.3851798334E+03    5.4471800580E-03
           4         2.0491624464E+03    3.2973600703E-03
           5         1.2559228537E+04    2.0209378113E-02
           6         1.0750017469E+01    1.7298129986E-05
           7         2.1484262999E+01    3.4570880937E-05
           8         4.5174322911E-01    7.2691166499E-07
           9         5.6863675796E-09    9.1500805295E-15
          10         1.7276029953E-09    2.7799304756E-15
          11         3.9593942247E-11    6.3711632245E-17
          12         1.3115803311E-10    2.1104976915E-16
          13         1.1543448221E-10    1.8574859844E-16
          14         9.5494585357E-11    1.5366279684E-16
          15         1.0796878913E-12    1.7373535942E-18
          16         1.3507741534E-13    2.1735654805E-19
          17         2.5431901463E-13    4.0923127664E-19
          18         1.1119903627E-13    1.7893323329E-19
          19         2.3826405477E-14    3.8339682722E-20
step       13 0.130000E+05
nlit      1
           1         3.8628923682E+05    5.3198792891E-01
           2         3.7284005464E+05    5.1346604972E-01
           3         1.8514649158E+03    2.5497914311E-03
           4         1.1205489514E+03    1.5431921448E-03
           5         6.8536798796E+03    9.4387174608E-03
