Non-linear control flop.
      1    0.1000000000E+01    0.5110456263E-05
      2    0.4772119591E-12    0.2438770845E-17
step       84 0.840000E+05
      1    0.1000000000E+01    0.4728589889E-05
      2    0.2917607454E-12    0.1379616911E-17
step       85 0.850000E+05
      1    0.1000000000E+01    0.4375257548E-05
      2    0.2289826115E-12    0.1001857899E-17
step       86 0.860000E+05
      1    0.1000000000E+01    0.4048327103E-05
      2    0.3343835995E-12    0.1353694189E-17
step       87 0.870000E+05
      1    0.1000000000E+01    0.3745825739E-05
      2    0.2507443728E-12    0.9392447257E-18
step       88 0.880000E+05
      1    0.1000000000E+01    0.3465928051E-05
      2    0.2143618878E-12    0.7429628800E-18
step       89 0.890000E+05
      1    0.1000000000E+01    0.3206945035E-05
      2    0.4596325461E-12    0.1474016312E-17
step       90 0.900000E+05
      1    0.1000000000E+01    0.2967313892E-05
      2    0.3608592485E-12    0.1070782661E-17
step       91 0.910000E+05
      1    0.1000000000E+01    0.2745588602E-05
      2    0.3228241587E-12    0.8863423308E-18
step       92 0.920000E+05
      1    0.1000000000E+01    0.2540431194E-05
      2    0.3170510673E-12    0.8054464213E-18
step       93 0.930000E+05
      1    0.1000000000E+01    0.2350603672E-05
      2    0.2600769039E-12    0.6113377252E-18
step       94 0.940000E+05
      1    0.1000000000E+01    0.2174960548E-05
      2    0.2994351216E-12    0.6512595762E-18
step       95 0.950000E+05
      1    0.1000000000E+01    0.2012441928E-05
      2    0.6134994363E-12    0.1234631989E-17
step       96 0.960000E+05
      1    0.1000000000E+01    0.1862067116E-05
      2    0.4122433344E-12    0.7676247567E-18
step       97 0.970000E+05
      1    0.1000000000E+01    0.1722928694E-05
      2    0.1580151891E-12    0.2722489034E-18
step       98 0.980000E+05
      1    0.1000000000E+01    0.1594187052E-05
      2    0.2600079343E-12    0.4145012822E-18
step       99 0.990000E+05
      1    0.1000000000E+01    0.1475065314E-05
      2    0.6076382248E-12    0.8963060690E-18
step      100 0.100000E+06
      1    0.1000000000E+01    0.1364844658E-05
      2    0.2691201354E-12    0.3673071792E-18
