"cCO2","darcyVel:0","darcyVel:1","darcyVel:2","noIdG","elIdG","mat","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.56525,1,0,0,50,50,1,1,0.49,0.49,0,0
0.52478,1,0,0,51,50,1,1,0.5,0.5,0,0
0.48406,1,0,0,52,51,1,1,0.51,0.51,0,0
0.44353,1,0,0,53,52,1,1,0.52,0.52,0,0
0.40359,1,0,0,54,53,1,1,0.53,0.53,0,0
0.36465,1,0,0,55,55,1,1,0.54,0.54,0,0
0.32708,1,0,0,56,56,1,1,0.55,0.55,0,0
0.29121,1,0,0,57,57,1,1,0.56,0.56,0,0
0.25731,1,0,0,58,57,1,1,0.57,0.57,0,0
0.2256,1,0,0,59,58,1,1,0.58,0.58,0,0
0.19625,1,0,0,60,59,1,1,0.59,0.59,0,0
0.16936,1,0,0,61,61,1,1,0.6,0.6,0,0
0.14498,1,0,0,62,62,1,1,0.61,0.61,0,0
0.1231,1,0,0,63,63,1,1,0.62,0.62,0,0
0.10367,1,0,0,64,63,1,1,0.63,0.63,0,0
0.086581,1,0,0,65,64,1,1,0.64,0.64,0,0
0.071707,1,0,0,66,65,1,1,0.65,0.65,0,0
0.058891,1,0,0,67,67,1,1,0.66,0.66,0,0
0.04796,1,0,0,68,68,1,1,0.67,0.67,0,0
0.038728,1,0,0,69,69,1,1,0.68,0.68,0,0
0.03101,1,0,0,70,69,1,1,0.69,0.69,0,0
0.024619,1,0,0,71,70,1,1,0.7,0.7,0,0
0.019381,1,0,0,72,71,1,1,0.71,0.71,0,0
0.015129,1,0,0,73,73,1,1,0.72,0.72,0,0
0.01171,1,0,0,74,74,1,1,0.73,0.73,0,0
0.0089872,1,0,0,75,75,1,1,0.74,0.74,0,0
0.00684,1,0,0,76,75,1,1,0.75,0.75,0,0
0.0051625,1,0,0,77,76,1,1,0.76,0.76,0,0
0.0038641,1,0,0,78,77,1,1,0.77,0.77,0,0
0.0028684,1,0,0,79,78,1,1,0.78,0.78,0,0
0.0021119,1,0,0,80,80,1,1,0.79,0.79,0,0
0.0015423,1,0,0,81,81,1,1,0.8,0.8,0,0
0.0011172,1,0,0,82,82,1,1,0.81,0.81,0,0
0.00080281,1,0,0,83,82,1,1,0.82,0.82,0,0
0.00057232,1,0,0,84,83,1,1,0.83,0.83,0,0
0.00040481,1,0,0,85,84,1,1,0.84,0.84,0,0
0.0002841,1,0,0,86,86,1,1,0.85,0.85,0,0
0.00019785,1,0,0,87,87,1,1,0.86,0.86,0,0
0.00013674,1,0,0,88,88,1,1,0.87,0.87,0,0
9.3796e-05,1,0,0,89,88,1,1,0.88,0.88,0,0
6.386e-05,1,0,0,90,89,1,1,0.89,0.89,0,0
4.3159e-05,1,0,0,91,90,1,1,0.9,0.9,0,0
2.8957e-05,1,0,0,92,92,1,1,0.91,0.91,0,0
1.929e-05,1,0,0,93,93,1,1,0.92,0.92,0,0
1.2759e-05,1,0,0,94,94,1,1,0.93,0.93,0,0
8.3807e-06,1,0,0,95,94,1,1,0.94,0.94,0,0
5.467e-06,1,0,0,96,95,1,1,0.95,0.95,0,0
3.5424e-06,1,0,0,97,96,1,1,0.96,0.96,0,0
2.2814e-06,1,0,0,98,98,1,1,0.97,0.97,0,0
1.466e-06,1,0,0,99,99,1,1,0.98,0.98,0,0
9.6508e-07,1,0,0,100,100,1,1,0.99,0.99,0,0
7.6366e-07,1,0,0,101,100,1,1,1,1,0,0
